trafficlevelclass,roadside_environment,year,month,week,weekday,time,daylight,deceased,serious_injuries,minor_injuries,totally_injured,vehicles_involved,roadway_type,atmospheric_conditions,road_surface_conditions,lane_direction_marking,lane_divider,left_edge_line,right_edge_line,left_barrier,right_barrier,road_width,straighness,road_narrowness,right_turn,left_turn,sequential_turns,road_gradient,vehicle_type,vehicle_year,mechanical_check,gender,age_class,severity,blackspot
1.0,2.0,2017.0,3.0,12.0,5.0,13.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2009.0,1.0,2.0,2.0,0.0,0
1.0,2.0,2016.0,1.0,2.0,2.0,22.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,6.35,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,2.0,1.0,0
3.0,2.0,2014.0,8.0,33.0,5.0,17.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,7.1,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1998.0,1.0,1.0,3.0,0.0,0
2.0,2.0,2014.0,1.0,5.0,4.0,13.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2004.0,9.0,2.0,1.0,3.0,1
2.0,2.0,2017.0,1.0,1.0,3.0,17.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2003.0,1.0,2.0,2.0,1.0,1
3.0,2.0,2018.0,1.0,5.0,2.0,16.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2015.0,1.0,1.0,2.0,3.0,0
3.0,2.0,2014.0,9.0,36.0,6.0,6.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2005.0,1.0,1.0,2.0,2.0,0
1.0,2.0,2016.0,10.0,42.0,6.0,18.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,5.7,1.0,2.0,0.0,0.0,0.0,2.0,6.0,2004.0,1.0,1.0,2.0,0.0,0
3.0,2.0,2014.0,1.0,3.0,7.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,13.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2007.0,1.0,1.0,2.0,2.0,0
3.0,2.0,2015.0,12.0,49.0,1.0,15.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,9.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2003.0,1.0,1.0,3.0,3.0,0
3.0,1.0,2014.0,3.0,11.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2010.0,9.0,1.0,1.0,1.0,0
3.0,2.0,2015.0,8.0,32.0,5.0,20.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1997.0,1.0,1.0,2.0,2.0,0
3.0,2.0,2014.0,2.0,7.0,2.0,16.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,14.3,1.0,2.0,0.0,0.0,0.0,0.0,6.0,1999.0,1.0,1.0,2.0,0.0,1
3.0,2.0,2016.0,1.0,2.0,1.0,15.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,13.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2005.0,1.0,1.0,2.0,3.0,1
3.0,1.0,2014.0,8.0,32.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,6.8,1.0,2.0,0.0,0.0,0.0,0.0,24.0,2008.0,9.0,1.0,2.0,1.0,0
3.0,2.0,2016.0,8.0,33.0,6.0,15.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2003.0,9.0,1.0,2.0,0.0,0
1.0,2.0,2015.0,10.0,42.0,7.0,14.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2004.0,1.0,1.0,2.0,0.0,0
1.0,2.0,2014.0,10.0,41.0,2.0,19.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,7.9,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1999.0,1.0,1.0,2.0,3.0,0
1.0,2.0,2014.0,10.0,43.0,1.0,16.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,6.1,2.0,2.0,1.0,0.0,0.0,2.0,1.0,2010.0,9.0,1.0,3.0,3.0,0
1.0,2.0,2015.0,1.0,3.0,1.0,14.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,6.5,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2008.0,1.0,1.0,3.0,0.0,0
1.0,2.0,2015.0,2.0,7.0,2.0,11.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,6.9,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2004.0,1.0,1.0,2.0,0.0,0
1.0,2.0,2016.0,2.0,6.0,4.0,20.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2008.0,1.0,1.0,3.0,3.0,0
1.0,1.0,2015.0,5.0,18.0,1.0,9.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,8.4,1.0,2.0,0.0,0.0,0.0,0.0,6.0,1999.0,1.0,1.0,2.0,3.0,0
1.0,2.0,2016.0,4.0,16.0,2.0,14.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,7.3,2.0,2.0,1.0,0.0,0.0,1.0,6.0,2003.0,1.0,1.0,2.0,3.0,0
1.0,2.0,2016.0,4.0,15.0,7.0,11.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,6.5,1.0,2.0,0.0,0.0,0.0,2.0,28.0,0.0,9.0,1.0,3.0,3.0,0
1.0,2.0,2014.0,11.0,46.0,4.0,23.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,6.8,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1994.0,9.0,1.0,3.0,1.0,0
1.0,2.0,2015.0,1.0,4.0,1.0,16.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,6.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2004.0,9.0,1.0,1.0,3.0,0
1.0,2.0,2018.0,2.0,7.0,5.0,7.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,7.0,2.0,2.0,0.0,1.0,0.0,1.0,6.0,0.0,1.0,1.0,3.0,3.0,0
1.0,1.0,2017.0,8.0,31.0,4.0,11.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2001.0,3.0,1.0,2.0,0.0,1
1.0,2.0,2018.0,2.0,5.0,1.0,19.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,6.5,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2001.0,1.0,1.0,2.0,2.0,1
